"form","count","description","example_filing_url","example_primary_doc_url"
"REG-NR","68","Filed by foreign private issuers when they are making offerings of securities in the United States.","https://www.sec.gov/Archives/edgar/data/217448/999999999723002965/9999999997-23-002965-index.html","https://www.sec.gov/Archives/edgar/data/217448/999999999723002965/9999999997-23-002965.paper"
"8-M","67","Report of a Registrant's Failure to File a Required Report. Filed by a company when it fails to file a required report with the SEC on time.","https://www.sec.gov/Archives/edgar/data/1883826/999999999722000304/9999999997-22-000304-index.html","https://www.sec.gov/Archives/edgar/data/1883826/999999999722000304/9999999997-22-000304.paper"
"1-U/A","67","Amendment to Notification Updating Statement. Filed by Canadian issuers to update information from a previous 1-U filing, typically related to changes in their securities or business operations.","https://www.sec.gov/Archives/edgar/data/1144392/000147793224004550/0001477932-24-004550-index.html","https://www.sec.gov/Archives/edgar/data/1144392/000147793224004550/mgon_1ua.htm"
"U-7D/A","66","Amendment to an application for registration as a transfer agent. This amendment relates to Form U-7D, which is filed by entities seeking to register as transfer agents, who handle the transfer of securities ownership.","https://www.sec.gov/Archives/edgar/data/107815/000104746905004840/0001047469-05-004840-index.html","https://www.sec.gov/Archives/edgar/data/107815/000104746905004840/a2152577zu-7da.htm"
"U5S/A","66","Amendment to an annual updating amendment for Form U5.  Filed by individuals associated with broker-dealers. ","https://www.sec.gov/Archives/edgar/data/1136808/000104746905025909/0001047469-05-025909-index.html","https://www.sec.gov/Archives/edgar/data/1136808/000104746905025909/a2164571zu5sa.htm"
"40-8F-A/A","65","Amendment to an application for an order under the Investment Company Act.  Filed by investment companies.","https://www.sec.gov/Archives/edgar/data/1218126/000095012304009509/0000950123-04-009509-index.html","https://www.sec.gov/Archives/edgar/data/1218126/000095012304009509/y00130e40v8fvaza.txt"
"SP 15D2","65","Certification of Issuer Pursuant to Section 13(e) and Rule 13e-4(c). Filed by issuers who are repurchasing their own shares (stock buybacks) in accordance with SEC rules.","https://www.sec.gov/Archives/edgar/data/1989305/000110465924068385/0001104659-24-068385-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1989305/000110465924068385/tmb-20231231x20f.htm"
"G-405","65","Certification of a Currency Backstop.   This certification confirms the existence and adequacy of arrangements to backstop currency risks.","https://www.sec.gov/Archives/edgar/data/814494/999999999722000819/9999999997-22-000819-index.html","https://www.sec.gov/Archives/edgar/data/814494/999999999722000819/9999999997-22-000819.paper"
"N-23C-2/A","64","Amendment to an initial notification about a proposed rule change. This amendment provides updates or corrections to information in the initial notification, often related to governance or self-regulation.","https://www.sec.gov/Archives/edgar/data/1232860/000119312522087667/0001193125-22-087667-index.html","https://www.sec.gov/Archives/edgar/data/1232860/000119312522087667/d316919dn23c2a.htm"
"497K3A","63","Prospectus Supplement.  Filed as part of a registration statement or to provide additional information, often for variable insurance products.","https://www.sec.gov/Archives/edgar/data/810893/000089180409000532/0000891804-09-000532-index.html","https://www.sec.gov/Archives/edgar/data/810893/000089180409000532/pimco45520-497.txt"
"STOP ORDER","62","Issued by the SEC to halt a securities offering or trading activity. This is a serious regulatory action, often taken due to concerns about fraud or non-compliance.","https://www.sec.gov/Archives/edgar/data/1723157/999999999724002767/9999999997-24-002767-index.html","https://www.sec.gov/Archives/edgar/data/1723157/999999999724002767/filename1.pdf"
"485B24F","60","Post-effective amendment to a registration statement for business development companies. This type of amendment often relates to changes in a BDC's investment strategy or portfolio.","https://www.sec.gov/Archives/edgar/data/1027624/000089180497000327/0000891804-97-000327-index.html","https://www.sec.gov/Archives/edgar/data/1027624/"
"8-B12G","58","Registration of Securities of a Successor Issuer Pursuant to Section 12(g) of the Exchange Act.   Filed when a successor company takes over a previously registered company.","https://www.sec.gov/Archives/edgar/data/1038217/000095013497006349/0000950134-97-006349-index.html","https://www.sec.gov/Archives/edgar/data/1038217/"
"N14AE24/A","57","Amendment to a Notice of Effectiveness. Filed to update or correct information from a previously filed N14AE24, which signifies when a registration statement becomes effective.","https://www.sec.gov/Archives/edgar/data/706366/000089322097001537/0000893220-97-001537-index.html","https://www.sec.gov/Archives/edgar/data/706366/"
"WDL-REQ","55","Withdrawal Request.   Filed to formally withdraw a registration statement or other filing with the SEC.","https://www.sec.gov/Archives/edgar/data/1605931/999999999715000434/9999999997-15-000434-index.html","https://www.sec.gov/Archives/edgar/data/1605931/999999999715000434/9999999997-15-000434.paper"
"253G3","55","Election/Certification by Schedule 13G Filer. Filed by institutional investors who own more than 5% of a company's stock and are passively investing.","https://www.sec.gov/Archives/edgar/data/1347858/000110465924090575/0001104659-24-090575-index.html","https://www.sec.gov/Archives/edgar/data/1347858/000110465924090575/tm2420509d4_253g3.htm"
"F-7","54","Registration Statement for Securities of Certain Canadian Issuers Offered for Cash upon the Exercise of Rights Granted to Existing Securityholders.  Filed by Canadian companies offering securities to their existing shareholders.","https://www.sec.gov/Archives/edgar/data/1761640/000149315224010880/0001493152-24-010880-index.html","https://www.sec.gov/Archives/edgar/data/1761640/000149315224010880/formf-7.htm"
"NSAR-BT/A","54","Amendment to a Semi-Annual Report of Proxy Voting Record. Filed to correct or update information previously reported on Form NSAR-BT, which is related to how an investment company voted proxies on behalf of its shareholders.","https://www.sec.gov/Archives/edgar/data/1438390/000143839015000094/0001438390-15-000094-index.html","https://www.sec.gov/Archives/edgar/data/1438390/000143839015000094/answer.fil"
"SBSE-C","53","Certification of a Small Business Issuer. This certification confirms the accuracy of information provided by a small business issuer in its filings.","https://www.sec.gov/Archives/edgar/data/1910878/000191087824000002/0001910878-24-000002-index.html","https://www.sec.gov/Archives/edgar/data/1910878/000191087824000002/xslSBSE-C_X01/primary_doc.xml"
"N-23C3C","52","Filing and Immediate Effectiveness of a Proposed Rule Change by a Self-Regulatory Organization.   Filed by a self-regulatory organization (SRO), such as a stock exchange, for rule changes.","https://www.sec.gov/Archives/edgar/data/1937073/000110465924085165/0001104659-24-085165-index.html","https://www.sec.gov/Archives/edgar/data/1937073/000110465924085165/tm2420381d1_n23c3c.htm"
"F-3MEF","52","Registration Statement for Specified Transactions by Certain Issuers.  Filed by foreign private issuers that qualify as emerging growth companies (EGCs) and meet certain criteria.","https://www.sec.gov/Archives/edgar/data/1685316/000119312522211297/0001193125-22-211297-index.html","https://www.sec.gov/Archives/edgar/data/1685316/000119312522211297/d370980df3mef.htm"
"SF-1","52","Registration Statement for Securities of Certain Foreign Private Issuers. Used by foreign companies to register securities offerings in the United States.","https://www.sec.gov/Archives/edgar/data/75488/000119312524096271/0001193125-24-096271-index.html","https://www.sec.gov/Archives/edgar/data/75488/000119312524096271/d809705dsf1.htm"
"ADVCO","50","Confidential Treatment Request for Investment Adviser Filings.   Filed by investment advisers seeking to keep certain information confidential.","https://www.sec.gov/Archives/edgar/data/1128557/999999999703014190/9999999997-03-014190-index.html","https://www.sec.gov/Archives/edgar/data/1128557/999999999703014190/9999999997-03-014190.paper"
"2-A","50","Registration Statement for Unit Investment Trusts.  Filed to register unit investment trusts (UITs) with the SEC.","https://www.sec.gov/Archives/edgar/data/1550615/999999999715011132/9999999997-15-011132-index.html","https://www.sec.gov/Archives/edgar/data/1550615/999999999715011132/9999999997-15-011132.paper"
"F-8/A","50","Amendment to a registration statement.  This amendment is related to Form F-8, which is used for registering securities issued by foreign companies to their employees.","https://www.sec.gov/Archives/edgar/data/1597659/000091957418008125/0000919574-18-008125-index.html","https://www.sec.gov/Archives/edgar/data/1597659/000091957418008125/d8116569_8-a.htm"
"F-3DPOS","49","Post-Effective Amendment to a Registration Statement on Form F-3 for a Dividend Reinvestment Plan.  This amendment pertains to dividend reinvestment plans (DRIPs) for foreign private issuers that have filed a Form F-3 registration statement.","https://www.sec.gov/Archives/edgar/data/1577437/000119312524211137/0001193125-24-211137-index.html","https://www.sec.gov/Archives/edgar/data/1577437/000119312524211137/d861500df3dpos.htm"
"G-405N","49","Filed by investment companies or other entities that have transactions involving foreign currencies or international investments.","https://www.sec.gov/Archives/edgar/data/814494/999999999722000820/9999999997-22-000820-index.html","https://www.sec.gov/Archives/edgar/data/814494/999999999722000820/9999999997-22-000820.paper"
"U-33-S","48","Filed by trust indenture trustees, who are responsible for overseeing the terms of a bond indenture, a legal agreement between a bond issuer and its bondholders.","https://www.sec.gov/Archives/edgar/data/1045513/000119312505152447/0001193125-05-152447-index.html","https://www.sec.gov/Archives/edgar/data/1045513/000119312505152447/du33s.htm"
"40-206A","","Application for an Order under the Investment Company Act of 1940.   This form is used for various requests or applications related to investment companies.","https://www.sec.gov/Archives/edgar/data/1950269/999999999722004678/9999999997-22-004678-index.html","https://www.sec.gov/Archives/edgar/data/1950269/999999999722004678/9999999997-22-004678.paper"
"N-23C3C/A","48","Amendment to a filing related to a proposed rule change by a self-regulatory organization (SRO).  ","https://www.sec.gov/Archives/edgar/data/1515001/000151500124000002/0001515001-24-000002-index.html","https://www.sec.gov/Archives/edgar/data/1515001/000151500124000002/vcmix_23c3_032824.htm"
"25/A","45","Amendment to a Notification of Removal from Listing and/or Registration. This amendment is filed to correct or update information in a previously filed Form 25, which relates to removing a company's securities from listing on an exchange.","https://www.sec.gov/Archives/edgar/data/1861233/000117184323005521/0001171843-23-005521-index.html","https://www.sec.gov/Archives/edgar/data/1861233/000117184323005521/f25a_090123.htm"
